flood_hazard_zone_tier,zone_cluster_id,platform,delivery_baseline_30d,income_baseline_weekly,enrollment_week,season_flag,open_meteo_7d_precip_probability,activity_consistency_score,tenure_discount_factor,historical_claim_rate_zone,weekly_premium
medium,7,zomato,217.9,1396.93,16,NE_monsoon,0.6897,0.6709,0.85,0.1171,51.84
low,9,swiggy,296.96,1838.57,6,NE_monsoon,0.2033,0.7968,0.9459,0.0883,49.39
low,1,zomato,351.26,1881.73,25,heat,0.0855,0.7923,0.85,0.0532,49.03
high,9,zomato,348.16,2287.52,13,dry_season,0.516,0.809,0.8821,0.1991,49.84
medium,1,zomato,383.74,2705.74,44,heat,0.4884,0.5669,0.85,0.1218,49.0
low,1,swiggy,280.69,1669.93,37,SW_monsoon,0.6391,0.6155,0.85,0.0953,49.97
high,1,zomato,282.33,1865.0,45,NE_monsoon,0.2182,0.874,0.85,0.1427,49.0
medium,1,swiggy,249.76,1529.44,46,SW_monsoon,0.4628,0.5605,0.85,0.1631,49.0
medium,15,swiggy,352.85,1824.01,22,SW_monsoon,0.6974,0.6146,0.85,0.1102,52.63
high,1,swiggy,385.22,2679.78,27,SW_monsoon,0.1652,0.621,0.85,0.1691,49.0
low,7,zomato,305.5,1505.93,18,NE_monsoon,0.7791,0.7318,0.85,0.1049,49.0
medium,9,zomato,219.53,1482.83,9,NE_monsoon,0.7968,0.6891,0.9021,0.1192,49.56
high,20,swiggy,354.7,2411.48,22,NE_monsoon,0.3604,0.6764,0.85,0.1597,49.0
low,7,zomato,271.15,1782.71,8,heat,0.3724,0.7298,0.9079,0.0574,49.98
medium,4,swiggy,222.22,1480.85,30,dry_season,0.6902,0.7367,0.85,0.115,53.84
medium,10,zomato,280.36,1857.64,46,NE_monsoon,0.5772,0.5589,0.85,0.1482,51.17
high,6,zomato,258.66,1851.15,51,SW_monsoon,0.7104,0.9119,0.85,0.2473,49.0
high,4,swiggy,273.42,1909.37,21,SW_monsoon,0.3049,0.7248,0.85,0.1768,49.55
high,6,swiggy,194.99,1405.31,16,SW_monsoon,0.4886,0.7724,0.8655,0.1379,49.82
high,20,zomato,332.23,2554.98,35,heat,0.7075,0.8274,0.85,0.1839,51.06
medium,6,zomato,300.41,2021.59,14,SW_monsoon,0.3324,0.9219,0.86,0.0703,49.0
medium,3,zomato,317.18,2085.56,7,NE_monsoon,0.412,0.669,0.9234,0.1211,49.0
medium,20,zomato,248.32,1593.26,29,heat,0.4851,0.5863,0.85,0.141,49.25
medium,4,swiggy,222.66,1474.21,2,dry_season,0.2202,0.5272,0.9761,0.1245,50.02
low,11,zomato,347.93,1924.99,35,NE_monsoon,0.374,0.7092,0.85,0.0466,49.0
high,4,zomato,448.55,3017.08,43,SW_monsoon,0.675,0.7287,0.85,0.1678,49.0
high,3,zomato,327.7,2321.45,13,SW_monsoon,0.3677,0.8939,0.8778,0.1984,50.49
medium,6,swiggy,232.32,1632.08,27,dry_season,0.6192,0.6863,0.85,0.1224,51.86
low,10,zomato,235.01,1345.03,12,NE_monsoon,0.2207,0.6859,0.8742,0.0532,49.0
high,2,zomato,283.7,1990.84,1,heat,0.2367,0.4398,0.9854,0.1804,50.72
low,3,zomato,337.76,2013.24,4,dry_season,0.3357,0.9262,0.9405,0.0375,49.0
medium,5,swiggy,228.35,1727.11,21,SW_monsoon,0.7408,0.4529,0.85,0.0901,49.0
high,11,zomato,200.77,1485.47,7,NE_monsoon,0.3098,0.6757,0.9223,0.1984,49.0
medium,9,swiggy,396.03,2903.5,28,NE_monsoon,0.1214,0.5348,0.85,0.1326,49.0
high,6,zomato,297.85,2208.21,28,NE_monsoon,0.4781,0.5271,0.85,0.1125,49.0
high,15,swiggy,326.95,2151.22,19,SW_monsoon,0.6235,0.7993,0.85,0.1463,49.0
medium,20,zomato,281.6,1881.88,42,SW_monsoon,0.3753,0.9557,0.85,0.1513,49.17
high,19,zomato,338.04,2605.54,31,NE_monsoon,0.4197,0.8284,0.85,0.2322,49.0
high,7,zomato,273.07,1804.95,40,SW_monsoon,0.4671,0.9229,0.85,0.1912,49.0
low,1,swiggy,266.92,1705.7,40,SW_monsoon,0.0637,0.7551,0.85,0.0793,54.16
medium,5,zomato,295.46,2012.43,8,heat,0.3267,0.7275,0.9221,0.0436,50.53
medium,11,swiggy,353.97,1812.44,26,heat,0.2871,0.7766,0.85,0.1751,49.0
medium,9,swiggy,278.67,1584.86,33,NE_monsoon,0.4427,0.7027,0.85,0.0637,49.0
high,8,swiggy,308.11,2251.39,35,dry_season,0.8534,0.7815,0.85,0.149,55.0
low,14,zomato,313.74,1640.98,21,dry_season,0.4379,0.649,0.85,0.0724,49.0
low,20,zomato,302.62,1606.11,3,NE_monsoon,0.5112,0.8361,0.9497,0.0318,49.0
high,11,zomato,353.56,2001.88,12,dry_season,0.7102,0.8948,0.8977,0.1901,49.0
high,12,zomato,167.73,1319.86,51,NE_monsoon,0.4608,0.8856,0.85,0.1739,49.0
low,11,swiggy,310.79,1752.21,35,SW_monsoon,0.5821,0.6007,0.85,0.1099,51.44
medium,16,zomato,364.07,2366.93,33,NE_monsoon,0.195,0.8244,0.85,0.0921,49.0
medium,10,zomato,205.16,1423.76,15,SW_monsoon,0.5756,0.6998,0.8735,0.1898,52.86
high,9,zomato,273.69,1865.33,52,dry_season,0.3772,0.9699,0.85,0.2089,49.0
medium,8,swiggy,198.38,1140.84,3,SW_monsoon,0.0861,0.4035,0.9482,0.1151,54.41
high,3,zomato,313.8,2213.37,39,NE_monsoon,0.6342,0.5278,0.85,0.1854,49.0
low,11,swiggy,299.37,1585.64,22,NE_monsoon,0.6478,0.9055,0.85,0.0736,50.24
low,15,zomato,284.07,1729.77,26,NE_monsoon,0.8332,0.6199,0.85,0.0705,49.0
high,12,swiggy,344.73,2605.94,27,dry_season,0.3359,0.7633,0.85,0.1451,54.18
low,16,swiggy,370.98,2118.89,42,dry_season,0.5938,0.6869,0.85,0.0559,50.37
low,4,zomato,197.45,1093.86,40,dry_season,0.2302,0.6651,0.85,0.0555,49.0
low,5,swiggy,323.78,1648.93,21,NE_monsoon,0.403,0.5165,0.85,0.0809,51.59
high,1,zomato,237.82,1651.46,38,SW_monsoon,0.1083,0.6562,0.85,0.1377,49.0
medium,20,zomato,294.32,2105.23,43,SW_monsoon,0.1595,0.521,0.85,0.1607,50.26
high,18,swiggy,277.45,1952.29,32,NE_monsoon,0.2891,0.8008,0.85,0.2029,51.97
high,17,swiggy,302.5,2269.68,15,NE_monsoon,0.22,0.7596,0.85,0.127,51.44
high,10,swiggy,252.35,1842.79,9,dry_season,0.2025,0.695,0.9014,0.1648,52.22
high,13,zomato,303.31,1874.07,39,NE_monsoon,0.2836,0.7056,0.85,0.2157,49.0
medium,18,zomato,184.12,1193.03,32,heat,0.783,0.771,0.85,0.1116,49.0
high,11,zomato,318.41,2148.9,20,NE_monsoon,0.3692,0.4998,0.85,0.164,49.0
medium,16,zomato,212.32,1313.52,22,NE_monsoon,0.4367,0.6565,0.85,0.1507,49.0
high,6,zomato,219.24,1547.63,2,NE_monsoon,0.2723,0.8666,0.9797,0.1601,53.95
low,3,swiggy,282.25,1634.5,5,SW_monsoon,0.6936,0.848,0.9443,0.0743,49.0
low,3,zomato,201.29,1237.25,41,dry_season,0.2744,0.845,0.85,0.0614,49.0
medium,5,zomato,218.16,1407.01,24,heat,0.3266,0.5727,0.85,0.0835,51.11
medium,15,zomato,252.92,1631.38,32,dry_season,0.1339,0.5314,0.85,0.0864,52.72
low,10,zomato,352.77,2240.44,18,dry_season,0.1077,0.7189,0.85,0.071,49.0
low,11,zomato,253.42,1473.58,26,dry_season,0.5844,0.4511,0.85,0.08,49.1
high,20,zomato,290.21,1968.89,19,NE_monsoon,0.4826,0.4249,0.85,0.2167,50.6
high,5,zomato,227.43,1568.0,14,dry_season,0.7385,0.801,0.8682,0.1866,49.0
high,6,zomato,190.16,1214.83,23,NE_monsoon,0.2164,0.8126,0.85,0.1869,49.0
low,1,zomato,342.62,2061.54,10,NE_monsoon,0.3548,0.8634,0.8899,0.0847,49.0
high,11,zomato,243.03,1565.74,43,NE_monsoon,0.1897,0.9195,0.85,0.2017,52.61
high,1,zomato,216.19,1533.45,35,heat,0.1105,0.5608,0.85,0.172,49.0
medium,8,zomato,344.28,2305.99,30,dry_season,0.6258,0.7406,0.85,0.1331,49.0
medium,2,swiggy,97.14,595.4,49,heat,0.8154,0.8638,0.85,0.1539,49.0
medium,20,swiggy,176.85,1101.48,51,SW_monsoon,0.5267,0.7153,0.85,0.0997,49.0
high,5,swiggy,257.22,1584.13,10,dry_season,0.455,0.7279,0.9081,0.1267,49.0
medium,17,zomato,244.84,1589.81,14,dry_season,0.3706,0.7879,0.8747,0.1173,49.0
medium,10,zomato,381.8,2211.04,34,NE_monsoon,0.536,0.7884,0.85,0.1032,49.08
medium,12,zomato,231.62,1339.22,40,SW_monsoon,0.477,0.7323,0.85,0.1291,49.0
high,20,zomato,306.04,2178.25,18,SW_monsoon,0.2841,0.543,0.85,0.1998,49.0
high,5,zomato,308.6,2162.29,29,NE_monsoon,0.3195,0.5139,0.85,0.1019,49.51
medium,20,zomato,256.19,1657.45,23,NE_monsoon,0.4255,0.7612,0.85,0.1398,53.93
medium,7,swiggy,286.14,1686.09,14,SW_monsoon,0.4099,0.7713,0.8591,0.1052,49.0
high,14,swiggy,296.37,2127.12,12,NE_monsoon,0.276,0.7943,0.8921,0.1697,49.0
low,5,zomato,277.93,1628.24,15,NE_monsoon,0.0789,0.5585,0.8523,0.1107,50.94
medium,10,zomato,291.71,1957.46,11,heat,0.4559,0.8419,0.8805,0.0658,52.93
high,2,swiggy,249.28,1907.9,35,NE_monsoon,0.2411,0.7895,0.85,0.186,50.21
medium,18,zomato,326.35,2178.64,41,dry_season,0.4455,0.747,0.85,0.1043,50.05
high,5,swiggy,232.07,1586.43,26,heat,0.4422,0.7067,0.85,0.2611,49.98
high,1,zomato,258.14,1822.3,51,dry_season,0.5789,0.7514,0.85,0.19,49.0
high,8,zomato,314.75,2394.37,38,NE_monsoon,0.3809,0.4807,0.85,0.1615,49.0
medium,8,zomato,283.1,1880.12,52,dry_season,0.5882,0.7528,0.85,0.0899,49.0
high,3,zomato,323.57,2124.37,46,SW_monsoon,0.2533,0.6948,0.85,0.1735,49.0
medium,16,zomato,344.85,2165.43,28,SW_monsoon,0.2917,0.8307,0.85,0.1588,53.56
medium,3,swiggy,190.87,1232.98,5,SW_monsoon,0.4377,0.7528,0.9416,0.1374,54.66
medium,8,zomato,374.97,2244.46,38,NE_monsoon,0.2767,0.6773,0.85,0.0958,49.0
medium,5,zomato,276.72,1926.13,33,heat,0.1982,0.8647,0.85,0.13,49.61
medium,18,swiggy,288.29,1823.64,3,NE_monsoon,0.4376,0.4615,0.9474,0.1325,49.0
medium,2,zomato,393.17,2422.57,18,dry_season,0.1186,0.7588,0.85,0.1309,50.74
medium,11,zomato,348.49,2431.73,11,NE_monsoon,0.2626,0.615,0.9057,0.1108,49.0
high,4,zomato,396.12,2775.33,15,SW_monsoon,0.5235,0.9116,0.85,0.1949,49.91
low,8,zomato,305.17,1959.27,42,SW_monsoon,0.9228,0.4093,0.85,0.0851,51.51
high,4,zomato,285.08,2363.73,6,NE_monsoon,0.4588,0.6934,0.9392,0.1743,51.03
high,5,zomato,324.97,2373.58,3,NE_monsoon,0.5172,0.4139,0.9583,0.1897,52.05
high,14,swiggy,431.91,3321.73,11,SW_monsoon,0.7439,0.5659,0.9024,0.1766,53.06
high,15,zomato,282.56,1966.47,28,heat,0.674,0.8158,0.85,0.1317,50.67
medium,15,swiggy,298.53,1791.92,1,NE_monsoon,0.2675,0.8024,0.9719,0.1494,49.69
high,12,zomato,181.15,1292.63,11,heat,0.4722,0.9406,0.9017,0.1368,51.8
medium,12,zomato,168.33,1058.05,44,SW_monsoon,0.6533,1.0,0.85,0.1195,53.67
low,6,swiggy,265.44,1429.74,45,SW_monsoon,0.1797,0.7298,0.85,0.0509,50.85
high,10,zomato,329.15,2221.83,41,heat,0.5151,0.7325,0.85,0.1619,49.0
low,4,swiggy,208.67,1148.79,50,NE_monsoon,0.182,0.7223,0.85,0.067,49.81
high,17,zomato,325.73,2237.53,33,heat,0.6672,0.706,0.85,0.1832,51.12
medium,5,zomato,328.92,2002.85,34,SW_monsoon,0.418,0.7029,0.85,0.1036,52.11
low,5,zomato,335.17,2193.14,43,NE_monsoon,0.555,0.9589,0.85,0.1041,49.3
medium,15,swiggy,177.31,1119.94,33,SW_monsoon,0.621,0.4679,0.85,0.1405,49.0
medium,6,zomato,294.68,1910.88,5,SW_monsoon,0.564,0.4929,0.9461,0.1389,50.19
medium,13,zomato,250.77,1572.63,21,heat,0.6528,0.7048,0.85,0.0574,49.96
low,10,zomato,301.54,1765.45,30,dry_season,0.4892,0.7482,0.85,0.0257,50.16
low,2,zomato,275.61,1656.74,43,dry_season,0.1809,0.5812,0.85,0.0774,49.84
high,5,swiggy,317.45,2098.71,48,heat,0.6408,0.6048,0.85,0.1886,49.0
low,4,swiggy,292.28,1865.79,42,SW_monsoon,0.3172,0.5337,0.85,0.1047,49.0
medium,9,zomato,233.73,1680.52,7,SW_monsoon,0.1777,0.6427,0.9331,0.1606,52.73
medium,5,zomato,276.66,1775.92,25,dry_season,0.5218,0.6739,0.85,0.1399,49.0
medium,7,swiggy,270.61,1943.6,2,heat,0.1453,0.4543,0.9575,0.0952,49.0
high,1,zomato,306.99,2004.47,25,SW_monsoon,0.5766,0.7366,0.85,0.1719,49.0
low,11,zomato,265.62,1594.77,31,NE_monsoon,0.8861,0.8926,0.85,0.1099,49.0
low,4,zomato,357.21,1765.37,24,NE_monsoon,0.2324,0.9159,0.85,0.0949,49.36
medium,19,zomato,351.17,2287.89,2,NE_monsoon,0.9091,0.7041,0.9567,0.1412,49.0
medium,13,zomato,289.72,1999.53,4,NE_monsoon,0.1473,0.7452,0.9461,0.1089,49.0
medium,17,zomato,383.65,2378.95,12,heat,0.6029,1.0,0.8852,0.0944,50.61
low,4,zomato,342.76,1924.29,52,heat,0.5992,0.6649,0.85,0.0834,51.72
medium,19,zomato,238.33,1349.46,32,heat,0.4397,0.465,0.85,0.1448,50.92
high,14,zomato,254.35,2093.15,3,heat,0.469,0.9306,0.9687,0.195,51.68
low,15,zomato,253.03,1650.73,15,SW_monsoon,0.5129,0.8146,0.8626,0.0723,50.43
low,8,zomato,221.09,1201.4,23,SW_monsoon,0.7947,0.5274,0.85,0.0691,49.0
medium,1,zomato,325.17,2214.47,17,NE_monsoon,0.1321,0.7213,0.8539,0.1753,53.95
medium,20,zomato,338.23,2013.15,29,dry_season,0.4473,0.8875,0.85,0.115,51.76
low,19,zomato,242.75,1505.11,46,heat,0.4068,0.7541,0.85,0.1273,49.0
low,13,zomato,317.97,1738.59,8,SW_monsoon,0.9056,0.9341,0.9069,0.0972,49.0
medium,2,zomato,200.67,1237.32,9,NE_monsoon,0.266,0.8253,0.8963,0.1199,49.75
high,3,swiggy,230.95,1662.07,52,SW_monsoon,0.5366,0.6273,0.85,0.2094,49.19
medium,6,zomato,247.77,1542.6,52,SW_monsoon,0.4521,0.7961,0.85,0.1766,49.0
medium,5,zomato,389.86,2316.06,10,heat,0.5551,0.6298,0.892,0.147,51.0
medium,9,swiggy,350.69,2423.15,45,NE_monsoon,0.6392,0.6638,0.85,0.1693,52.2
high,5,swiggy,376.0,2706.15,51,heat,0.7441,0.6788,0.85,0.1162,49.0
medium,3,zomato,278.35,1825.65,1,dry_season,0.4242,0.7155,0.9861,0.1184,49.0
high,15,zomato,199.33,1322.33,32,heat,0.1902,0.9363,0.85,0.1878,49.0
medium,12,zomato,363.02,2437.95,27,NE_monsoon,0.3873,0.6127,0.85,0.1899,51.05
low,20,swiggy,187.13,1068.42,15,heat,0.2447,0.8235,0.8716,0.0694,49.0
high,6,zomato,302.72,1830.17,39,SW_monsoon,0.1948,0.6961,0.85,0.1637,50.84
low,20,swiggy,314.31,1653.14,29,heat,0.4357,0.7066,0.85,0.0778,52.19
medium,3,swiggy,309.12,2058.93,52,NE_monsoon,0.4471,0.5935,0.85,0.1065,49.0
medium,18,zomato,350.71,2282.98,15,NE_monsoon,0.7874,0.7559,0.8698,0.1823,49.0
high,13,swiggy,228.57,1599.03,8,heat,0.0932,0.5648,0.9312,0.1643,49.0
medium,20,swiggy,338.16,2365.28,45,NE_monsoon,0.4566,0.5613,0.85,0.1003,54.19
high,13,zomato,275.76,1936.05,39,dry_season,0.7663,0.7529,0.85,0.2285,50.95
low,5,zomato,230.55,1210.53,19,NE_monsoon,0.4053,0.754,0.85,0.0787,50.02
high,13,swiggy,242.58,1638.48,5,SW_monsoon,0.1571,0.9961,0.9539,0.271,49.0
low,6,zomato,273.17,1819.95,1,dry_season,0.6379,0.7012,0.9772,0.0567,56.0
medium,2,zomato,313.29,2109.19,24,NE_monsoon,0.4775,0.5915,0.85,0.1519,50.72
high,18,zomato,331.79,2349.92,50,dry_season,0.7039,0.6203,0.85,0.2007,49.0
medium,2,zomato,230.69,1489.55,4,NE_monsoon,0.1509,0.6911,0.9454,0.1075,49.0
medium,10,zomato,259.43,1722.75,12,NE_monsoon,0.5887,0.7114,0.8874,0.0892,51.56
medium,14,zomato,365.62,2360.62,13,SW_monsoon,0.1448,0.592,0.884,0.1385,49.0
low,12,zomato,250.92,1527.59,26,dry_season,0.4869,0.8759,0.85,0.0878,49.64
medium,14,swiggy,291.15,2024.38,11,heat,0.3147,0.7679,0.9011,0.1693,49.0
medium,18,zomato,376.71,2331.03,45,SW_monsoon,0.5183,0.6054,0.85,0.1102,49.0
low,2,zomato,234.02,1321.47,11,NE_monsoon,0.76,0.6163,0.8908,0.0392,51.7
medium,14,zomato,250.32,1670.9,26,NE_monsoon,0.2908,0.6582,0.85,0.1365,54.32
high,5,swiggy,322.24,2103.96,35,dry_season,0.2895,0.7394,0.85,0.2059,49.0
high,19,zomato,261.21,1848.65,29,NE_monsoon,0.5276,0.729,0.85,0.1722,49.05
medium,2,swiggy,265.19,1762.03,29,NE_monsoon,0.3043,0.9563,0.85,0.076,49.0
medium,3,zomato,283.9,1877.36,27,NE_monsoon,0.6285,0.633,0.85,0.0894,49.41
low,12,zomato,203.09,1187.53,3,NE_monsoon,0.3818,0.5049,0.9542,0.0625,49.0
low,20,swiggy,263.31,1563.75,3,dry_season,0.6096,0.7797,0.9525,0.065,49.0
medium,6,swiggy,315.03,2109.79,27,SW_monsoon,0.6309,0.7759,0.85,0.0986,51.65
high,11,swiggy,258.0,2007.19,24,heat,0.7768,0.4127,0.85,0.1839,49.0
high,15,zomato,353.7,2477.25,47,dry_season,0.5942,0.7725,0.85,0.1958,53.82
high,20,swiggy,286.43,1834.01,22,dry_season,0.5173,0.9895,0.85,0.1814,49.16
medium,2,zomato,247.7,1585.06,51,dry_season,0.0732,0.9247,0.85,0.1271,49.0
high,11,swiggy,201.1,1278.07,26,NE_monsoon,0.3481,0.919,0.85,0.1336,49.0
low,16,zomato,266.63,1696.94,27,dry_season,0.3328,0.9034,0.85,0.1124,50.83
medium,15,zomato,222.68,1399.57,33,NE_monsoon,0.4944,0.8711,0.85,0.1378,49.0
high,19,swiggy,269.13,1940.11,6,SW_monsoon,0.4612,0.6324,0.9201,0.1907,49.0
low,3,zomato,236.36,1383.2,26,NE_monsoon,0.549,0.7739,0.85,0.0338,49.0
medium,14,zomato,199.86,1369.85,44,NE_monsoon,0.5252,0.7693,0.85,0.1321,49.0
low,2,swiggy,314.11,1723.42,17,SW_monsoon,0.5344,0.6846,0.85,0.0923,50.44
low,1,swiggy,362.88,2400.7,13,SW_monsoon,0.4894,0.8216,0.8892,0.0909,49.0
low,4,swiggy,313.45,1632.83,21,dry_season,0.5384,0.7633,0.85,0.0493,49.5
medium,16,swiggy,306.89,1915.27,49,NE_monsoon,0.8186,0.9155,0.85,0.1925,49.0
medium,7,zomato,368.08,2496.98,30,heat,0.5684,0.6551,0.85,0.124,49.0
medium,14,zomato,299.7,1835.28,35,NE_monsoon,0.302,0.7265,0.85,0.1568,50.57
high,19,zomato,269.71,1725.53,18,heat,0.3695,0.5022,0.85,0.1773,49.0
high,11,zomato,283.1,2170.55,38,NE_monsoon,0.3896,0.7687,0.85,0.2375,49.0
low,18,zomato,298.88,1719.94,51,NE_monsoon,0.3154,0.7392,0.85,0.0958,50.41
high,6,zomato,238.78,1680.36,42,NE_monsoon,0.3198,0.573,0.85,0.1436,50.06
medium,14,zomato,163.67,949.25,4,heat,0.7349,0.5713,0.9379,0.1185,49.0
medium,4,zomato,315.82,2005.56,43,NE_monsoon,0.3129,0.7313,0.85,0.0942,50.92
low,3,swiggy,321.78,2017.5,8,heat,0.4031,0.8085,0.9216,0.0874,49.0
medium,17,swiggy,250.72,1789.48,6,heat,0.6157,0.4808,0.9357,0.204,49.0
medium,5,zomato,263.08,1610.52,28,heat,0.453,0.6922,0.85,0.1319,49.0
low,8,zomato,350.18,2193.86,45,SW_monsoon,0.4142,0.5319,0.85,0.0964,51.75
high,6,zomato,166.85,1197.19,21,NE_monsoon,0.0711,0.5498,0.85,0.1813,53.56
low,8,swiggy,191.37,1101.04,25,dry_season,0.1095,0.6753,0.85,0.0734,49.74
high,12,zomato,274.07,1970.07,38,SW_monsoon,0.5769,0.8808,0.85,0.1781,49.45
high,10,zomato,267.36,1830.44,15,dry_season,0.3717,0.5625,0.85,0.2443,49.0
low,11,zomato,271.72,1544.61,21,dry_season,0.4327,0.9791,0.85,0.01,49.0
medium,2,zomato,198.77,1243.14,43,NE_monsoon,0.6583,0.6629,0.85,0.0836,50.78
high,2,zomato,305.04,2372.2,10,dry_season,0.4971,0.6514,0.9063,0.1416,49.99
medium,3,swiggy,364.4,2393.26,52,NE_monsoon,0.6221,0.6621,0.85,0.0982,49.0
low,7,zomato,184.09,956.33,28,NE_monsoon,0.4067,0.6877,0.85,0.1534,49.0
low,14,zomato,251.46,1311.88,22,dry_season,0.1066,0.751,0.85,0.0897,49.0
medium,11,zomato,327.4,1883.62,13,SW_monsoon,0.3414,0.7692,0.8633,0.1319,49.51
medium,18,zomato,261.74,1577.16,41,SW_monsoon,0.5663,0.4442,0.85,0.1188,49.0
medium,5,zomato,339.29,1860.02,34,NE_monsoon,0.4105,0.9033,0.85,0.1355,49.0
medium,16,swiggy,217.92,1239.28,40,heat,0.2776,0.7615,0.85,0.1124,50.86
low,1,zomato,197.93,1080.18,9,heat,0.2847,0.5929,0.9088,0.049,49.0
medium,2,zomato,241.02,1405.6,39,NE_monsoon,0.4494,0.9202,0.85,0.1105,50.16
medium,5,swiggy,321.22,2319.4,40,NE_monsoon,0.2892,0.6751,0.85,0.1259,49.89
